,Model,MNNPC Score,MSE Score
0,03-01-24/alexnet_LR0.0003_SAMPLES_all_SIMPLEHEAD_True_EPOCHS50_BATCHSIZE_64_TIME_2024-01-02_20:37:28.pt_SIMPLE_HEAD,0.501906,0.9036819
1,03-01-24/resnet18_LR0.00015_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_128_TIME_2024-01-02_16:34:13.pt,0.5,0.5391988
2,03-01-24/resnet101_LR0.00015_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_64_TIME_2024-01-02_17:15:40.pt,0.5,0.53919876
3,03-01-24/resnet152_LR0.0003_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_64_TIME_2024-01-02_15:16:04.ptSIMPLE_HEAD,0.5,0.53919905
4,03-01-24/resnet152_LR0.00015_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_64_TIME_2024-01-02_14:57:27.ptSIMPLE_HEAD,0.5,0.53919375
5,03-01-24/alexnet_LR0.00015_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_64_TIME_2024-01-02_19:27:03.ptNO_PCA,0.5,0.5390897
6,03-01-24/resnet18_LR1e-05_SAMPLES_all_SIMPLEHEAD_True_EPOCHS50_BATCHSIZE_32_TIME_2024-01-02_19:03:14.ptSIMPLE_HEAD_NO_PCA,0.49991262,0.5390899
7,03-01-24/resnet34_LR1e-05_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_32_TIME_2024-01-02_21:25:08.ptNO_PCA,0.5,0.5390898
8,03-01-24/resnet101_LR0.0003_SAMPLES_all_SIMPLEHEAD_False_EPOCHS50_BATCHSIZE_64_TIME_2024-01-02_23:24:48.ptNO_PCA,0.5,0.5390891
9,03-01-24/resnet152_LR0.00015_SAMPLES_all_SIMPLEHEAD_True_EPOCHS50_BATCHSIZE_64_TIME_2024-01-03_01:23:21.ptSIMPLE_HEAD_NO_PCA,0.49948066,0.5390914
